PITCHERS - COL,IP,H,R,ER,BB,SO,HR,ERA
Ureña,6.2,5,1,1,3,2,0,2.51
"Bird(BS, 1)",0.1,0,0,0,0,0,0,1.86
Colomé,1.0,1,0,0,1,2,0,2.61
"Bard, D(L, 3-3)",0.0,2,1,1,1,0,0,2.35
,8.0,8,2,2,5,4,0,
