PITCHERS - LAD,IP,H,R,ER,BB,SO,HR,ERA
"Gonsolin(L, 0-1)",1.1,4,1,1,1,1,0,6.75
Heaney,3.0,3,1,1,2,4,1,3.00
Almonte,0.2,0,0,0,0,2,0,0.00
Vesia,0.2,0,0,0,2,0,0,0.00
"Phillips, E",1.1,0,0,0,0,2,0,0.00
Kahnle,1.0,0,0,0,0,1,0,0.00
,8.0,7,2,2,5,10,1,
