PITCHERS - SD,IP,H,R,ER,BB,SO,HR,ERA
"Snell(W, 1-0)",5.1,5,1,1,2,6,0,3.12
"Martinez, N(H, 2)",0.2,0,0,0,0,1,0,1.80
"García, L(H, 1)",1.0,0,0,0,0,2,0,0.00
"Suarez, R(H, 2)",1.0,1,0,0,0,1,0,0.00
"Hader(S, 2)",1.0,0,0,0,0,2,0,0.00
,9.0,6,1,1,2,12,0,
