BATTERS - TEX,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Semien2B,4,0,1,0,0,2,0,.243,.719
SeagerSS,4,0,0,0,0,1,1,.250,.790
"Lowe, N1B",4,0,0,0,0,0,1,.302,.855
"García, AdRF",3,0,0,0,0,1,1,.250,.739
HeimC,3,0,0,0,0,0,0,.233,.717
TaverasCF,3,0,0,0,0,2,0,.285,.725
CalhounDH,2,0,0,0,1,2,0,.206,.617
"Duran, E3B",3,0,1,0,0,0,0,.240,.653
"Thompson, BLF",3,0,1,0,0,2,2,.295,.688
,29,0,3,0,1,10,5,,
