BATTERS - HOU,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Altuve2B,4,0,1,0,0,1,2,.291,.897
PeñaSS,4,0,1,0,0,1,0,.248,.691
"Alvarez, YDH",4,0,1,0,0,1,2,.294,.989
Bregman3B,4,0,1,0,0,1,2,.265,.839
TuckerRF,3,0,1,0,0,0,0,.258,.804
Gurriel1B,3,0,0,0,0,0,2,.240,.654
ManciniLF,2,1,0,0,1,1,0,.255,.740
DubónCF,0,0,0,0,0,0,0,.213,.566
McCormickCF-LF,3,0,2,0,0,0,0,.239,.738
MaldonadoC,3,0,1,1,0,1,1,.177,.584
,30,1,8,1,1,6,9,,
