PITCHERS - TEX,IP,H,R,ER,BB,SO,HR,ERA
"Pérez(L, 10-6)",7.0,6,1,1,1,5,0,2.82
Leclerc,1.0,2,0,0,0,1,0,3.11
,8.0,8,1,1,1,6,0,
