BATTERS - MIL,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
YelichLF,4,0,0,0,0,1,1,.248,.723
AdamesSS,4,0,2,0,0,2,0,.216,.756
Tellez1B,4,0,0,0,0,1,2,.227,.757
McCutchenRF,4,0,1,0,0,1,2,.257,.706
"Wong, Ko2B",4,0,0,0,0,1,2,.226,.698
Peterson3B,3,0,1,0,0,0,0,.251,.763
RenfroeDH,3,1,1,0,0,1,1,.243,.772
NarváezC,2,0,0,1,0,0,1,.241,.698
"Davis, JoCF",2,0,0,0,1,0,1,.232,.598
,30,1,5,1,1,7,10,,
