PITCHERS - WSH,IP,H,R,ER,BB,SO,HR,ERA
"Fedde(L, 5-6)",3.0,8,8,8,3,1,3,5.01
Weems,2.0,0,0,0,0,3,0,5.91
Ramirez,2.1,5,2,2,0,1,1,4.70
"Escobar, A",0.2,2,2,2,1,0,0,10.80
,8.0,15,12,12,4,5,4,
