BATTERS - WSH,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Hernández2B,3,0,0,0,1,0,1,.246,.616
"Soto, JRF",3,1,2,2,1,0,1,.239,.855
Bell1B,4,0,0,0,0,0,2,.306,.884
"Cruz, NDH",3,0,0,0,1,1,0,.236,.681
"García, LSS",4,0,0,0,0,2,1,.316,.783
"Ruiz, KC",4,0,1,0,0,1,1,.256,.675
"Hernandez, YLF",3,0,1,0,0,1,1,.273,.730
Franco3B,3,0,0,0,0,1,2,.238,.625
"Thomas, LCF",3,1,1,0,0,1,0,.218,.650
,30,2,5,2,3,7,9,,
