BATTERS - HOU,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Altuve2B,4,0,0,0,0,1,3,.000,.080
PeñaSS,4,0,1,0,0,1,1,.333,1.068
"Alvarez, YDH",4,1,1,0,0,2,3,.238,.931
Bregman3B,4,1,2,3,0,0,0,.318,1.011
TuckerRF,3,0,1,0,1,0,1,.227,.656
Gurriel1B,3,0,2,0,0,0,0,.409,1.091
DíazLF,3,0,0,0,0,1,4,.071,.276
McCormickCF,3,0,0,0,0,1,2,.308,.938
MaldonadoC,1,1,1,0,1,0,0,.273,.749
,29,3,8,3,2,6,14,,
