PITCHERS - DET,IP,H,R,ER,BB,SO,HR,ERA
"Alexander, T(L, 2-5)",5.0,2,2,2,1,5,0,4.04
Cisnero,1.0,1,1,1,1,1,0,1.59
Chafin,1.0,2,0,0,0,1,0,2.38
"Law, D",1.0,2,1,1,1,1,0,4.50
,8.0,7,4,4,3,8,0,
