PITCHERS - LAD,IP,H,R,ER,BB,SO,HR,ERA
"Buehler(W, 4-1)",7.0,4,1,1,2,6,0,1.96
"Phillips, E",1.0,0,0,0,0,0,0,4.09
Erlin,1.0,0,0,0,1,1,0,0.00
,9.0,4,1,1,3,7,0,
