PITCHERS - CHC,IP,H,R,ER,BB,SO,HR,ERA
"Steele(L, 1-4)",4.0,3,2,2,2,3,0,5.32
Rucker,3.0,4,3,3,2,3,0,4.85
Norris,1.0,1,0,0,0,1,0,7.56
Sampson,1.0,2,2,0,0,0,0,0.00
,9.0,10,7,5,4,7,0,
