BATTERS - OAK,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
PinderDH,4,0,0,0,0,2,1,.234,.624
a-VogtPH,1,0,0,0,0,0,0,.149,.585
Bethancourt1B,4,1,1,0,0,0,1,.242,.672
LaureanoRF,4,1,1,1,0,1,0,.239,.681
"Murphy, SC",3,1,0,0,0,0,0,.219,.688
AndrusSS,3,1,2,3,1,1,0,.222,.619
Neuse3B,4,0,1,1,0,2,2,.229,.582
PacheCF,4,0,0,0,0,1,3,.163,.438
"Allen, N2B",3,1,1,0,1,1,0,.220,.699
KempLF,4,0,0,0,0,2,2,.223,.591
,34,5,6,5,2,10,9,,
