BATTERS - HOU,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Altuve2B,4,1,1,0,0,1,1,.258,.864
Dubón2B,1,0,1,0,0,0,0,.255,.671
BrantleyDH,5,1,2,3,0,0,1,.286,.786
Bregman3B,4,1,1,0,1,0,1,.230,.772
"Alvarez, YLF",4,3,2,1,0,0,2,.259,.955
McCormickLF,1,0,0,0,0,1,2,.240,.734
Gurriel1B,5,3,2,2,0,0,3,.248,.717
TuckerRF,5,2,2,6,0,2,1,.252,.823
PeñaSS,5,1,2,1,0,2,0,.282,.877
SiriCF,5,0,1,0,0,1,1,.225,.666
MaldonadoC,4,1,1,0,0,1,2,.119,.449
,43,13,15,13,1,8,14,,
