BATTERS - BOS,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
"Hernández, KCF",5,0,1,0,0,0,3,.180,.531
Devers3B,4,2,3,1,0,0,0,.333,.926
Dalbec3B,0,0,0,0,1,0,0,.165,.498
MartinezDH,5,1,3,2,0,0,4,.333,.958
BogaertsSS,3,0,0,0,1,0,3,.338,.865
ArroyoSS,1,0,0,0,0,0,2,.196,.511
VerdugoLF,5,0,2,0,0,0,3,.213,.575
Story2B,4,1,2,0,1,0,1,.210,.622
Cordero1B,5,0,1,0,0,1,4,.231,.659
PlaweckiC,5,0,1,1,0,1,4,.146,.353
Bradley Jr.RF,4,0,0,0,0,1,3,.189,.516
,41,4,13,4,3,3,27,,
