BATTERS - CHC,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Madrigal2B,2,0,0,0,0,0,0,.249,.587
McKinstry2B,1,0,0,0,0,1,0,.165,.507
"Suzuki, SRF",4,0,1,0,0,3,1,.263,.769
"Reyes, FDH",3,1,0,0,1,1,1,.233,.663
HoernerSS,3,2,2,2,0,0,0,.288,.753
GomesC,2,1,1,2,1,1,0,.236,.626
Rivas1B,3,0,0,0,0,2,1,.240,.645
HermosilloCF,3,0,1,0,0,2,0,.097,.392
Bote3B,3,0,0,0,0,2,1,.233,.625
MorelLF,2,0,0,0,0,2,0,.246,.752
,26,4,5,4,2,14,4,,
