PITCHERS - CHC,IP,H,R,ER,BB,SO,HR,ERA
"Smyly(W, 6-8)",7.0,1,1,0,2,8,0,3.57
"Rodríguez, M",0.2,1,1,1,2,1,0,4.05
"Hughes(S, 4)",1.1,1,0,0,0,1,0,3.17
,9.0,3,2,0,4,10,0,
