BATTERS - HOU,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Altuve2B,4,0,0,0,1,0,0,.283,.874
Gurriel1B,4,2,3,0,0,0,1,.240,.669
TuckerRF,4,1,1,0,0,1,3,.247,.792
Bregman3B,2,1,2,3,2,0,0,.255,.793
DíazLF,3,0,1,1,0,0,3,.254,.733
ManciniDH,4,0,0,0,0,1,3,.265,.756
PeñaSS,4,1,1,0,0,2,3,.246,.706
MeyersCF,4,1,1,0,0,0,0,.218,.588
MaldonadoC,4,1,1,3,0,1,0,.187,.622
,33,7,10,7,3,5,13,,
