Team,L,Type,W,L,ERA,G,GS,SV,IP,BF,H,R,ER,HR,BB,SO,WHIP
Gwinnett Stripers,Triple-A,Bases Empty,,,,24,,,70.2,312,69,,,3,23,71,1.30
Gwinnett Stripers,Triple-A,Bases Loaded,,,,5,,,2.0,8,1,,,0,1,3,1.00
Gwinnett Stripers,Triple-A,Runner at 1st,,,,24,,,30.1,104,21,,,3,7,27,0.92
Gwinnett Stripers,Triple-A,Runners at 1st & 2nd,,,,15,,,7.1,30,9,,,1,1,3,1.36
Gwinnett Stripers,Triple-A,Runners at 1st & 3rd,,,,9,,,5.1,17,2,,,0,0,4,0.38
Gwinnett Stripers,Triple-A,Runner at 2nd,,,,21,,,14.1,62,8,,,1,9,17,1.19
Gwinnett Stripers,Triple-A,Runners at 2nd & 3rd,,,,8,,,2.2,14,4,,,0,1,5,1.88
Gwinnett Stripers,Triple-A,Runner at 3rd,,,,10,,,4.1,19,3,,,1,3,7,1.38
Gwinnett Stripers,Triple-A,Scoring Position,,,,23,,,36.0,150,27,,,3,15,39,1.17
