BATTERS - PIT,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
"Cruz, OSS",4,0,0,0,0,2,0,.202,.665
Newman2B,4,0,2,0,0,0,0,.281,.707
"Reynolds, BDH",4,0,1,0,0,1,2,.256,.795
GamelRF,4,1,1,1,0,0,2,.243,.706
Hayes3B,4,0,0,0,0,1,0,.243,.661
MarcanoLF,4,0,1,0,0,1,0,.216,.593
Chavis1B,3,0,0,0,0,1,1,.242,.690
"Allen, GCF",3,0,0,0,0,2,2,.180,.517
DelayC,3,0,0,0,0,1,1,.232,.583
,33,1,5,1,0,9,8,,
