PITCHERS - PIT,IP,H,R,ER,BB,SO,HR,ERA
"Thompson, Z.R.",4.0,3,0,0,1,5,0,5.13
Banuelos,1.0,1,1,0,2,0,0,3.72
"Yajure(L, 1-1)",1.1,3,5,4,3,1,0,9.77
"Ramirez, Y",0.2,0,0,0,3,1,0,5.91
"Stephenson, R",1.0,1,0,0,0,1,0,5.91
,8.0,8,6,4,9,8,0,
