BATTERS - AZ,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
"Rojas, J3B",2,0,0,0,2,1,0,.274,.755
"Marte, K2B",4,0,0,0,0,1,3,.242,.727
McCarthyRF,4,0,1,0,0,1,1,.288,.803
Rivera1B,4,0,0,0,0,2,1,.238,.725
VarshoDH,4,2,2,2,0,0,0,.243,.768
CarrollLF,4,1,2,1,0,1,0,.281,.793
HummelC,2,0,0,0,1,1,0,.176,.581
"b-Kelly, CPH",1,0,0,0,0,0,0,.221,.649
"Thomas, ACF",2,0,1,0,1,0,0,.249,.668
PerdomoSS,1,0,0,0,0,1,0,.194,.553
"a-Walker, CPH",1,0,0,0,0,0,2,.237,.816
DifoSS,0,0,0,0,0,0,0,.000,.000
,29,3,6,3,4,8,7,,
