PITCHERS - NYY,IP,H,R,ER,BB,SO,HR,ERA
Cortes,2.0,2,3,3,3,2,1,4.50
"Peralta, Wa",2.0,3,1,1,1,1,0,3.12
"Loáisiga(L, 0-1)",2.1,2,2,1,0,1,0,0.96
Holmes,2.2,2,0,0,0,2,0,0.00
,9.0,9,6,5,4,6,1,
