,PA,AB,R,H,HR,RBI,SB,AVG,OBP,SLG,OPS
2022,666,586,90,160,34,95,11,.273,.356,.519,.875
5 Seasons,2272,1986,326,530,127,342,66,.267,.354,.532,.886
