Year,Team,Avg HR Trot,Actual HR,xHR,HR-xHR,Doubters,Mostly Gone,No Doubters,No Doubter %
2018,,21.0,22,17.2,5,8,12,8,36.4
2019,,21.1,18,16.6,1,6,14,6,33.3
2020,,21.4,7,7.2,0,4,8,1,14.3
2021,,22.9,46,46.3,0,7,25,26,56.5
2022,,22.8,34,34.5,-1,10,33,11,32.4
Player,,22.2,127,121.9,5,35,92,52,40.9
