 , , ,,Runs
Year,Team,PA,Pitches,Heart,Shadow,Chase,Waste,All
2018,,364,"1,455",7,2,12,7,27
2019,,424,"1,683",6,-15,7,9,6
2020,,175,739,-11,-4,5,2,-8
2021,,618,"2,586",6,2,22,17,48
2022,,652,"2,546",20,-17,15,9,26
