PITCHERS - DET,IP,H,R,ER,BB,SO,HR,ERA
"Faedo(L, 1-2)",6.0,5,2,2,2,2,0,3.00
"Barnes, J",0.1,1,3,3,2,0,0,5.51
Foley,0.2,2,1,1,0,1,0,3.38
Carlton,2.0,3,2,2,0,1,1,4.91
,9.0,11,8,8,4,4,1,
