PITCHERS - CLE,IP,H,R,ER,BB,SO,HR,ERA
"Bieber(W, 2-3)",8.0,8,1,1,0,5,0,3.19
Clase,1.0,2,0,0,1,2,0,2.60
,9.0,10,1,1,1,7,0,
