PITCHERS - LAD,IP,H,R,ER,BB,SO,HR,ERA
Heaney,5.0,7,3,2,0,8,2,2.12
"Hembree(W, 3-0)",1.0,2,0,0,0,1,0,6.75
"Vesia(H, 14)",1.0,0,0,0,1,1,0,2.49
"Phillips, E(H, 16)",1.0,0,0,0,0,0,0,1.22
"Reed(S, 1)",1.0,1,0,0,0,0,0,8.10
,9.0,10,3,2,1,10,2,
