BATTERS - MIN,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
BuxtonDH,5,0,0,0,0,1,1,.202,.816
Arraez1B-2B,5,0,1,0,0,1,0,.347,.861
CorreaSS,5,0,2,0,0,2,3,.275,.746
KeplerRF,4,0,0,0,1,3,4,.248,.783
SanchezC,4,1,0,0,1,1,6,.208,.698
LarnachLF,3,1,2,2,0,0,0,.295,.790
a-GarlickPH,0,0,0,0,0,0,0,.273,1.026
Miranda1B,0,0,0,0,0,0,0,.143,.436
Urshela3B,4,0,1,0,0,1,3,.254,.668
Gordon2B-LF,4,0,1,0,0,2,1,.250,.605
CelestinoCF,4,0,0,0,0,2,3,.319,.770
,38,2,7,2,2,13,21,,
