BATTERS - CIN,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
India2B,4,0,1,0,0,1,0,.214,.428
NaquinRF,3,0,1,0,0,0,1,.143,.286
c-DruryPH,1,0,0,0,0,1,0,.400,1.400
PhamDH,2,1,0,0,2,0,1,.000,.333
Votto1B,4,0,1,1,0,2,1,.300,.717
FraleyLF,2,0,0,0,0,1,0,.200,.533
a-AquinoPH-LF,2,0,0,0,0,0,2,.143,.286
SenzelCF,2,0,0,0,0,0,1,.200,.500
Moustakas3B,3,0,0,0,0,1,1,.100,.191
"Farmer, KSS",3,0,0,0,0,1,0,.273,.546
"Garcia, ArC",2,0,0,0,0,2,0,.000,.000
"b-Stephenson, TPH-C",1,0,0,0,0,0,0,.286,.619
,29,1,3,1,2,9,7,,
