BATTERS - WSH,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
"García, LSS",4,0,0,0,1,2,1,.298,.743
Bell1B,4,0,0,0,1,2,3,.304,.877
"Soto, JRF",3,1,1,0,2,0,1,.243,.871
"Cruz, NDH",3,1,1,0,2,1,2,.241,.689
"Ruiz, KC",5,0,0,0,0,1,6,.255,.671
"Hernandez, YLF",2,0,0,0,0,2,1,.275,.741
"a-Thomas, LPH-LF",3,1,1,3,0,0,1,.220,.660
Adrianza2B-3B,5,0,1,0,0,1,1,.203,.499
Franco3B,4,0,0,0,0,0,0,.235,.617
"1-Escobar, APR-2B",0,0,0,0,0,0,0,.223,.555
b-HernándezPH-2B,1,0,0,0,0,0,2,.241,.606
RoblesCF,4,0,1,0,0,0,2,.232,.598
,38,3,5,3,6,9,20,,
