PITCHERS - SD,IP,H,R,ER,BB,SO,HR,ERA
Darvish,7.0,6,2,2,1,11,0,3.24
"García, L(H, 18)",1.0,0,0,0,1,1,0,3.32
"Rogers(L, 1-5)(BS, 7)",0.2,3,2,2,0,1,0,4.35
,8.2,9,4,4,2,13,0,
