BATTERS - NYY,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
JudgeCF,3,1,1,2,1,0,0,.313,1.065
Rizzo1B,4,0,1,1,1,0,4,.226,.847
Torres2B,5,0,0,0,0,1,4,.234,.709
AndújarLF,4,0,1,1,0,1,1,.294,.588
GalloRF,4,0,0,0,0,3,1,.165,.590
Kiner-FalefaSS,3,2,1,0,1,0,0,.257,.610
TrevinoC,4,0,1,0,0,0,1,.246,.659
CarpenterDH,2,2,0,0,1,0,2,.000,.500
Gonzalez3B,3,2,1,0,1,1,2,.220,.566
,32,7,6,4,5,6,15,,
