BATTERS - TOR,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
SpringerCF,4,1,1,1,1,0,2,.275,.839
Guerrero1B,5,1,0,0,0,1,4,.280,.843
Gurriel Jr.LF,5,0,2,1,0,2,2,.296,.752
KirkDH,4,0,0,0,1,1,1,.296,.820
BichetteSS,3,1,2,0,2,0,2,.262,.727
"Hernández, TRF",3,0,1,0,1,1,2,.261,.784
"Chapman, M3B",4,0,2,1,0,1,3,.236,.778
Merrifield2B,3,0,0,0,0,0,6,.237,.633
a-BiggioPH-2B,1,0,0,0,0,0,1,.214,.685
"Jansen, DC",2,0,1,0,2,0,0,.217,.756
,34,3,9,3,7,6,23,,
