BATTERS - LAA,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Fletcher2B,5,1,1,0,0,2,0,.287,.721
TroutCF,5,2,2,2,0,1,0,.270,.967
OhtaniDH,4,2,3,2,1,0,0,.265,.874
Rengifo3B,5,1,2,2,0,1,1,.268,.727
Ford1B,5,0,2,0,0,0,2,.179,.520
AdellLF,4,0,1,0,0,1,2,.232,.660
1-SierraPR-LF,0,1,0,0,1,0,0,.192,.522
"Aguilar, RRF",5,0,1,0,0,3,4,.182,.630
SuzukiC,4,1,1,1,0,0,2,.179,.562
"Velazquez, ASS",4,0,0,0,0,2,3,.198,.544
,41,8,13,7,2,10,14,,
