PITCHERS - NYY,IP,H,R,ER,BB,SO,HR,ERA
"Montgomery(L, 3-2)",5.0,3,1,1,3,8,1,3.19
Sears,2.2,3,1,1,0,1,0,0.59
"Abreu, A",0.1,1,0,0,0,0,0,2.55
,8.0,7,2,2,3,9,1,
