PITCHERS - PHI,IP,H,R,ER,BB,SO,HR,ERA
Wheeler,6.1,2,0,0,1,4,0,0.00
Alvarado,0.2,1,2,2,1,0,1,27.00
"Robertson(W, 1-0)",1.0,0,0,0,0,2,0,0.00
Eflin,1.0,2,1,1,1,1,0,9.00
,9.0,5,3,3,3,7,1,
