BATTERS - ATL,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Acuña Jr.RF,5,2,3,2,0,1,2,.282,.843
SwansonSS,5,2,2,0,0,0,2,.295,.827
Riley3B,4,1,1,0,1,1,1,.256,.839
Olson1B,5,2,2,5,0,0,1,.251,.821
d'ArnaudC,5,1,1,0,0,0,2,.256,.776
OzunaDH,5,1,1,2,0,3,0,.227,.689
DuvallLF,3,0,0,0,1,0,0,.203,.632
Arcia2B,4,0,1,0,0,1,1,.333,.918
"Harris II, MCF",3,1,1,0,0,0,1,.345,.946
,39,10,12,9,2,6,10,,
