PITCHERS - OAK,IP,H,R,ER,BB,SO,HR,ERA
Kaprielian,5.0,2,0,0,2,4,0,4.74
Snead,0.1,2,0,0,1,0,0,6.55
"Acevedo(W, 3-2)",1.1,2,1,1,0,1,0,3.07
"Moll(H, 10)",1.1,1,0,0,0,1,0,1.78
"Jackson, Z(S, 2)",1.0,0,0,0,0,2,0,2.82
,9.0,7,1,1,3,8,0,
