Year,Team,Avg HR Trot,Actual HR,xHR,HR-xHR,Doubters,Mostly Gone,No Doubters,No Doubter %
2016,,23.8,25,25.5,-1,7,9,19,76.0
2017,,24.7,32,33.2,-1,7,19,19,59.4
2018,,25.7,21,17.5,4,6,9,12,57.1
2019,,26.6,23,20.7,2,5,8,15,65.2
2020,,25.9,8,7.2,1,1,2,6,75.0
2021,,27.8,22,26.8,-5,4,16,14,63.6
2022,,27.4,11,11.6,-1,6,6,6,54.5
Player,,25.8,142,142.5,-1,36,69,91,64.1
