Season,Tm,LG,PA,TB,LOB,SAC,SF,BABIP,XBH,GIDP,GIDPO,NP,P/PA,K/PA,HR/PA,BB/K,ISO,ROE,WO
2013,BAL,AL,15,7,5,0,0,.273,1,2,3,60,4.000,.133,.067,.500,.214,0,0
2014,BAL,AL,481,161,212,5,0,.249,34,12,63,1742,3.622,.254,.033,.107,.145,5,0
2015,BAL,AL,321,147,126,1,2,.329,32,9,43,1122,3.495,.246,.047,.114,.203,3,1
2016,BAL,AL,647,279,266,0,3,.305,64,16,88,2231,3.448,.212,.039,.153,.187,3,0
2017,BAL,AL,675,313,229,0,7,.330,67,20,113,2544,3.769,.210,.047,.246,.211,5,1
2018,BAL,AL,367,156,143,1,2,.262,36,8,53,1303,3.550,.202,.046,.162,.203,3,1
2018,MIL,NL,134,41,61,0,2,.259,8,3,20,464,3.463,.306,.030,.171,.129,1,0
2018,2 Teams,,501,197,204,1,4,.261,44,11,73,1767,3.527,.230,.042,.165,.184,4,1
2019,MIN,AL,464,205,220,0,1,.298,47,13,73,1681,3.623,.250,.050,.172,.217,0,0
2020,DET,AL,177,77,59,0,2,.316,14,8,26,624,3.525,.220,.045,.205,.198,5,0
2021,DET,AL,674,271,225,0,8,.317,53,15,82,2588,3.840,.197,.033,.278,.157,5,0
2022,DET,AL,510,155,221,0,4,.234,35,15,65,1789,3.508,.210,.022,.178,.121,1,0
10 Seasons,4 Teams,,4465,1812,1767,7,31,.293,391,121,629,16148,3.617,.222,.039,.183,.178,31,3
