 , , ,,Runs
Year,Team,PA,Pitches,Heart,Shadow,Chase,Waste,All
2014,,505,"1,833",-9,-14,-3,4,-21
2015,,321,"1,122",-3,2,1,5,5
2016,,651,"2,240",7,-23,8,8,-1
2017,,675,"2,540",15,-11,13,9,26
2018,,507,"1,807",3,-26,1,6,-15
2019,,460,"1,663",15,-21,-5,9,-2
2020,,177,624,4,-4,1,4,5
2021,,674,"2,588",-3,-9,6,10,4
2022,,509,"1,789",-12,-27,2,6,-31
