PITCHERS - PHI,IP,H,R,ER,BB,SO,HR,ERA
"Nola, Aa(W, 1-0)",6.0,4,4,4,0,7,2,6.00
"Familia(H, 1)",0.2,1,1,0,0,1,0,0.00
"Hand(H, 1)",0.1,1,0,0,0,1,0,0.00
"Domínguez(H, 1)",1.0,0,0,0,0,0,0,0.00
Knebel,1.0,0,0,0,0,2,0,0.00
,9.0,6,5,4,0,11,2,
