BATTERS - PHI,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
SchwarberLF,4,2,2,2,1,0,2,.500,1.850
RealmutoC,4,1,1,0,1,1,0,.250,.650
HarperRF,4,2,1,1,1,0,2,.250,.900
"Castellanos, NDH",4,0,1,1,0,3,2,.250,.750
Hoskins1B,3,2,2,2,1,1,0,.667,1.417
GregoriusSS,4,0,1,1,0,1,2,.250,.500
Segura2B,3,1,1,0,1,0,2,.333,1.167
Stott3B,4,1,2,1,0,1,1,.500,1.250
VierlingCF,3,0,0,1,0,1,1,.000,.000
,33,9,11,9,5,8,12,,
