PITCHERS - WSH,IP,H,R,ER,BB,SO,HR,ERA
Espino,4.0,6,2,2,1,4,0,3.42
"Machado, A",1.0,1,0,0,0,0,0,4.02
"Cishek(H, 5)",1.0,1,0,0,0,2,0,4.38
"Finnegan(BS, 3)",1.2,1,1,1,1,3,1,3.89
Edwards Jr.,1.1,0,0,0,2,1,0,3.45
Rainey,2.0,2,0,0,0,0,0,3.30
"Weems(L, 0-1)",0.0,1,1,0,1,0,0,5.91
,11.0,12,4,3,5,10,1,
