PITCHERS - ATL,IP,H,R,ER,BB,SO,HR,ERA
"Wright(W, 3-0)",7.0,3,1,1,4,8,0,1.13
"Minter(H, 2)",1.0,0,0,0,0,1,0,3.12
"Smith, W.M.",1.0,0,0,0,0,1,0,2.16
,9.0,3,1,1,4,10,0,
