PITCHERS - TB,IP,H,R,ER,BB,SO,HR,ERA
"Kluber(L, 10-8)",0.2,8,6,6,0,0,0,4.36
Chargois,1.1,2,1,1,0,0,1,4.09
Cleavinger,2.0,0,0,0,0,4,0,5.40
"Raley, B",1.0,0,0,0,0,0,0,2.03
Armstrong,1.0,1,0,0,0,1,0,4.50
Faucher,1.0,2,2,2,0,1,0,6.48
Bethancourt,1.0,2,1,1,0,0,1,2.25
,8.0,15,10,10,0,6,2,
