PITCHERS - NYM,IP,H,R,ER,BB,SO,HR,ERA
Carrasco,5.0,6,0,0,2,1,0,4.07
"Smith, Dr(W, 2-3)",1.0,2,1,1,0,1,0,3.51
Lugo,1.0,1,0,0,1,0,0,3.65
"Peterson, D",1.0,2,1,1,1,1,0,3.31
"Rodríguez, J",0.0,2,3,3,2,0,0,5.93
"Díaz(S, 21)",1.0,0,0,0,0,1,0,1.60
,9.0,13,5,5,6,4,0,
