PITCHERS - SD,IP,H,R,ER,BB,SO,HR,ERA
"Musgrove(L, 8-3)",5.1,5,4,4,2,4,1,2.63
"Martinez, N",0.2,2,1,1,0,0,0,3.66
"Wilson, S",1.0,3,3,2,1,2,0,4.08
"Hill, T",1.0,2,0,0,0,0,0,4.00
,8.0,12,8,7,3,6,1,
