PITCHERS - LAA,IP,H,R,ER,BB,SO,HR,ERA
Detmers,4.1,3,0,0,2,1,0,3.83
Bradley,0.2,0,0,0,0,1,0,6.23
"Herget(L, 1-1)",1.0,2,1,1,1,2,0,3.10
Wantz,2.0,2,0,0,0,0,0,2.16
Quijada,1.0,0,0,0,0,2,0,1.69
,9.0,7,1,1,3,6,0,
