PITCHERS - SEA,IP,H,R,ER,BB,SO,HR,ERA
"Gilbert, L(W, 12-5)",6.0,5,0,0,0,9,0,3.23
"Brash(H, 7)",1.0,1,0,0,1,1,0,4.57
"Muñoz, A(H, 20)",1.0,1,0,0,1,2,0,2.73
"Sewald(S, 18)",1.0,0,0,0,0,2,0,2.41
,9.0,7,0,0,2,14,0,
