PITCHERS - MIN,IP,H,R,ER,BB,SO,HR,ERA
"Ryan(L, 7-4)",4.2,8,10,10,2,7,5,3.78
Moran,1.1,1,0,0,1,2,0,2.08
Cotton,1.0,0,0,0,0,2,0,3.06
Gordon,1.0,0,0,0,1,0,0,9.00
,8.0,9,10,10,4,11,5,
