PITCHERS - TB,IP,H,R,ER,BB,SO,HR,ERA
"McClanahan(L, 0-1)",7.0,7,2,2,0,5,1,2.57
Cleavinger,1.0,1,0,0,0,2,0,0.00
,8.0,8,2,2,0,7,1,
