PITCHERS - NYY,IP,H,R,ER,BB,SO,HR,ERA
Gil,4.0,5,4,4,2,5,0,9.00
Castro,1.0,0,0,0,0,0,0,1.46
"Luetge(H, 3)",1.0,1,1,1,0,1,0,4.66
"Loáisiga(W, 1-1)(BS, 1)",1.0,1,2,2,1,0,1,5.93
Green,2.0,1,0,0,1,2,0,3.38
,9.0,8,7,7,4,8,1,
