PITCHERS - CWS,IP,H,R,ER,BB,SO,HR,ERA
Cease,4.0,6,6,6,2,11,2,3.55
"Ruiz, J",1.0,1,0,0,1,1,0,2.25
Burr,2.0,2,1,1,0,0,1,6.00
"Kelly, J(L, 0-1)",0.2,1,5,5,4,1,0,27.00
Banks,1.1,5,3,3,0,1,1,2.81
,9.0,15,15,15,7,14,4,
