BATTERS - NYY,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
LeMahieu2B-3B,5,2,3,1,1,1,1,.295,.811
JudgeRF,4,3,2,4,1,2,2,.296,.994
Kiner-FalefaSS,0,0,0,0,0,0,0,.256,.625
Rizzo1B,5,2,1,1,1,2,3,.232,.889
StantonDH,4,3,3,6,1,0,0,.277,.838
Donaldson3B,5,1,2,3,0,2,0,.224,.723
TrevinoC,0,0,0,0,0,0,0,.175,.433
"Hicks, ACF",5,0,0,0,0,1,2,.215,.617
GalloLF,4,1,1,0,1,3,2,.190,.613
GonzalezSS-RF,4,1,0,0,1,2,2,.208,.592
HigashiokaC,3,1,2,0,0,1,1,.170,.450
a-TorresPH-2B,1,1,1,0,1,0,0,.231,.724
,40,15,15,15,7,14,13,,
