BATTERS - WSH,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
RoblesCF,5,2,3,0,0,1,2,.243,.629
Hernández2B,4,1,1,0,0,1,2,.242,.608
"Soto, JRF",4,1,0,0,0,0,4,.245,.886
Bell1B,4,1,2,2,0,0,1,.304,.882
"Hernandez, YDH",3,0,1,1,0,1,1,.270,.731
"a-Cruz, NPH-DH",2,1,1,2,0,1,1,.233,.668
"Ruiz, KC",5,0,1,1,0,1,2,.248,.655
"García, LSS",5,1,3,2,0,0,1,.287,.716
Franco3B,4,0,0,0,0,2,2,.235,.616
"Thomas, LLF",3,1,2,0,1,1,1,.228,.665
,39,8,14,8,1,8,17,,
