PITCHERS - WSH,IP,H,R,ER,BB,SO,HR,ERA
"Gray, Js",5.0,5,3,3,2,6,2,4.45
Weems,1.1,0,0,0,1,1,0,6.06
"Ramirez(W, 2-1)",0.2,0,0,0,0,0,0,4.08
"Arano(H, 6)",1.0,1,0,0,0,0,0,4.78
"Harvey, H",1.0,0,0,0,0,1,0,3.12
,9.0,6,3,3,3,8,2,
