BATTERS - PIT,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Marcano2B,4,1,2,1,1,0,0,.269,.731
"Reynolds, BDH",4,1,2,1,1,0,4,.258,.801
GamelLF,4,0,2,1,1,1,2,.237,.695
Hayes3B,5,0,1,0,0,0,5,.246,.669
"Cruz, OSS",4,0,1,0,1,2,2,.219,.705
Madris1B,3,0,0,0,0,0,0,.189,.528
a-ChavisPH-1B,1,0,1,0,0,0,0,.248,.700
"Allen, GCF",3,2,1,0,1,0,1,.133,.328
MitchellRF,4,0,0,0,0,0,2,.208,.592
DelayC,4,1,2,0,0,1,0,.298,.779
,36,5,12,3,5,4,16,,
