PITCHERS - MIL,IP,H,R,ER,BB,SO,HR,ERA
Woodruff,6.1,8,3,2,3,3,0,3.49
"Boxberger(BS, 7)",0.2,1,0,0,0,0,0,2.66
Milner,1.0,1,0,0,0,1,0,2.85
"Williams, D",1.0,1,0,0,0,0,0,1.77
"Bush(L, 2-2)(BS, 4)",0.1,1,2,1,2,0,0,3.55
,9.1,12,5,3,5,4,0,
