PITCHERS - PIT,IP,H,R,ER,BB,SO,HR,ERA
"Thompson, Z.R.",4.1,4,3,3,1,5,2,5.15
Stout,1.2,1,0,0,1,2,0,2.57
"Ramirez, Y",1.0,1,0,0,0,2,0,6.35
Holderman,2.0,1,0,0,1,0,0,1.74
"Underwood Jr.(W, 1-3)",1.0,0,1,0,2,0,0,3.77
,10.0,7,4,3,5,9,2,
