PITCHERS - ATL,IP,H,R,ER,BB,SO,HR,ERA
"Wright(W, 21-5)",5.0,7,2,2,1,3,0,3.19
"Lee, D(H, 9)",1.0,0,0,0,0,0,0,2.20
"Chavez(H, 10)",1.0,1,0,0,0,1,0,3.31
"Iglesias, R(H, 13)",1.0,0,0,0,0,2,0,2.55
"Jansen(S, 39)",1.0,0,0,0,0,2,0,3.48
,9.0,8,2,2,1,8,0,
